age,income,employment_length,credit_history_length,num_credit_lines,num_open_accounts,total_debt,debt_to_income_ratio,credit_utilization,num_late_payments,num_delinquencies,bankruptcies,loan_amount,loan_purpose,homeownership,num_dependents,credit_risk
56,34388,12,21,1,4,98239,0.37,0.14,7,3,0,25673,personal,rent,4,0
69,25569,33,21,7,6,44041,1.08,0.57,16,9,1,6239,personal,rent,4,1
46,89836,24,10,11,9,31954,1.29,0.87,19,0,0,27415,business,own,3,1
32,124573,6,24,4,1,8002,0.09,0.58,0,3,2,38888,home,own,1,0
60,56586,3,21,6,4,69783,1.89,0.72,13,3,1,28195,business,mortgage,1,1
25,147018,7,27,3,8,87234,1.68,0.37,16,9,2,40161,business,rent,3,1
38,32015,19,28,4,2,19738,0.59,0.09,9,8,0,30323,business,rent,1,1
56,65002,28,12,7,8,10703,0.15,0.46,11,2,0,35964,education,own,2,0
36,136594,9,17,0,5,49422,0.34,0.39,15,1,2,37234,business,mortgage,3,0
40,26254,33,1,0,3,83106,0.25,0.87,13,8,2,31763,auto,mortgage,3,1
28,37144,25,28,14,6,61899,0.25,0.24,15,8,2,35674,personal,rent,1,1
28,44214,2,20,3,7,12392,1.04,0.97,7,0,1,19105,education,own,0,1
41,125654,5,14,2,5,44724,0.49,0.96,9,5,0,45651,business,rent,1,0
70,100719,4,19,12,4,32299,0.72,0.25,16,9,2,30739,personal,own,5,1
53,91774,4,26,9,5,15641,1.98,0.35,17,7,0,49205,home,mortgage,0,1
57,26090,22,17,11,4,79534,1.37,0.9,19,2,2,32969,home,rent,3,1
41,31637,8,14,1,7,6305,1.9,0.97,15,8,0,15497,personal,rent,0,1
20,42415,34,18,11,0,98262,0.29,0.44,16,1,1,2816,auto,rent,2,1
39,44071,19,22,2,6,18782,0.76,0.32,15,5,0,27483,personal,mortgage,4,1
70,78243,34,23,10,9,78257,1.11,0.53,18,0,2,44481,personal,rent,0,1
19,130951,17,11,14,9,77963,0.15,0.69,7,6,0,23159,education,mortgage,5,0
41,145827,16,12,14,1,20566,0.01,0.27,5,2,1,4849,home,own,4,0
61,128215,23,21,10,8,67766,1.34,0.74,5,6,1,22612,home,mortgage,2,1
47,61240,2,10,13,0,6511,1.28,0.05,8,3,0,40617,business,own,5,1
55,146146,31,4,10,9,26177,0.82,0.05,3,8,2,34826,personal,mortgage,4,1
19,103807,34,28,0,5,4765,0.98,0.39,11,4,1,45498,personal,mortgage,2,1
38,121570,37,0,0,8,20354,0.83,0.35,11,2,1,19706,auto,rent,4,1
50,53434,12,23,5,0,23929,0.05,0.32,16,7,0,25563,home,mortgage,4,0
29,89724,24,2,4,3,28820,0.67,0.49,14,5,1,5359,auto,rent,1,1
